bwpc-754.bluewrist.net  |  Intel Corporate  |  192.168.40.28  |  00:1B:21:79:72:D5  |  [445, 135, 139]
bwdell101.bluewrist.net  |  Intel Corporate  |  192.168.40.10  |  00:1B:21:79:72:D5  |  [80, 443, 3389, 445, 135, 139]
hera.bluewrist.net  |  Advantech Technology (CHINA) Co., Ltd.  |  192.168.40.16  |  00:0B:AB:78:9F:11  |  [3389, 445, 135, 139]
bwpc-7760.bluewrist.net  |  AzureWave Technology Inc.  |  192.168.40.86  |  80:C5:F2:39:05:87  |  [445, 135, 139]
bwpc-7769.bluewrist.net  |  AzureWave Technology Inc.  |  192.168.40.68  |  80:C5:F2:39:04:E5  |  [445, 139]
bwpc-7769.bluewrist.net  |  CHONGQING FUGUI ELECTRONICS CO.,LTD.  |  192.168.40.82  |  40:23:43:96:62:DB  |  []
BWDELL101  |  Intel Corporate  |  192.168.40.19  |  00:1B:21:79:72:D5  |  [80, 443, 3389, 445, 135, 139]
bwpc-7769.bluewrist.net  |  Redlake MASD LLC  |  192.168.40.59  |  00:E0:26:09:99:7E  |  [445, 135, 139]
hera.bluewrist.net  |  Advantech Technology (CHINA) Co., Ltd.  |  192.168.40.16  |  00:0B:AB:78:9F:11  |  [3389, 445, 135, 139]
artemis.bluewrist.net  |  Dell Inc.  |  192.168.40.12  |  18:66:DA:80:E4:81  |  [80, 443, 25, 3389, 445, 135, 1433, 139, 1433]
artemis.bluewrist.net  |  Dell Inc.  |  192.168.40.12  |  18:66:DA:80:E4:81  |  [80, 443, 25, 3389, 445, 135, 1433, 139, 1433]
artemis.bluewrist.net  |  Dell Inc.  |  192.168.40.89  |  18:66:DA:80:E4:81  |  [80, 443, 25, 3389, 445, 135, 1433, 139, 1433]
bwdell101.bluewrist.net  |  Intel Corporate  |  192.168.40.10  |  00:1B:21:79:72:D5  |  [80, 443, 3389, 445, 135, 139]
bwpc-7769.bluewrist.net  |  AzureWave Technology Inc.  |  192.168.40.68  |  80:C5:F2:39:04:E5  |  [445, 135, 139]
bwpc-7769.bluewrist.net  |  CHONGQING FUGUI ELECTRONICS CO.,LTD.  |  192.168.40.82  |  40:23:43:96:62:DB  |  []
bwpc-754.bluewrist.net  |  Intel Corporate  |  192.168.40.28  |  00:1B:21:79:72:D5  |  [445, 135, 139]
bwpc-7769.bluewrist.net  |  Redlake MASD LLC  |  192.168.40.59  |  00:E0:26:09:99:7E  |  [445, 135, 139]
bwpc-7760.bluewrist.net  |  AzureWave Technology Inc.  |  192.168.40.86  |  80:C5:F2:39:05:87  |  [445, 135, 139]
artemis.bluewrist.net  |  Dell Inc.  |  192.168.40.89  |  18:66:DA:80:E4:81  |  [80, 443, 25, 3389, 445, 135, 1433, 139, 1433]
hephaestus.bluewrist.net  |  VMware, Inc.  |  192.168.40.95  |  00:0C:29:6C:5B:7A  |  [80, 3389, 445, 135, 139]
hephaestus.bluewrist.net  |  VMware, Inc.  |  192.168.40.95  |  00:0C:29:6C:5B:7A  |  [80, 3389, 445, 135, 139]
BWDELL101  |  Intel Corporate  |  192.168.40.19  |  00:1B:21:79:72:D5  |  [80, 443, 3389, 445, 135, 139]
desktop-1cdd01g.bluewrist.net  |  ASRock Incorporation  |  192.168.40.98  |  A8:A1:59:26:69:8E  |  [445, 135, 1433, 139, 1433]
desktop-1cdd01g.bluewrist.net  |  ASRock Incorporation  |  192.168.40.98  |  A8:A1:59:26:69:8E  |  [445, 135, 1433, 139, 1433]
bwpc-7769.bluewrist.net  |  TP-Link Systems Inc  |  192.168.40.101  |  7C:C2:C6:45:A3:BC  |  [80, 445, 135, 139]
bwpc-7769.bluewrist.net  |  TP-Link Systems Inc  |  192.168.40.101  |  7C:C2:C6:45:A3:BC  |  [80, 445, 135, 139]
wyzec1-jz-2caa8e77431e.bluewrist.net  |  Wyze Labs Inc  |  192.168.40.102  |  2C:AA:8E:77:43:1E  |  []
bwcad.bluewrist.net  |  TP-LINK TECHNOLOGIES CO.,LTD.  |  192.168.40.109  |  50:3E:AA:05:C6:B6  |  [3389, 445, 135, 139]
desktop-7qn3jsr.bluewrist.net  |  Hewlett Packard  |  192.168.40.103  |  80:CE:62:3A:5D:EA  |  [80, 21, 445, 135, 139, 5900]
bwcad.bluewrist.net  |  TP-LINK TECHNOLOGIES CO.,LTD.  |  192.168.40.109  |  50:3E:AA:05:C6:B6  |  [3389, 445, 135, 139]
BWPC-7766.Bluewrist.net  |  HP Inc.  |  192.168.40.112  |  24:6A:0E:16:A2:8C  |  [80, 445, 135, 139]
desktop-7qn3jsr.bluewrist.net  |  Hewlett Packard  |  192.168.40.103  |  80:CE:62:3A:5D:EA  |  [80, 21, 445, 135, 139, 5900]
wyzec1-jz-2caa8e77431e.bluewrist.net  |  Wyze Labs Inc  |  192.168.40.102  |  2C:AA:8E:77:43:1E  |  []
BWPC-7766.Bluewrist.net  |  HP Inc.  |  192.168.40.112  |  24:6A:0E:16:A2:8C  |  [80, 445, 135, 139]
bwpc-7713.bluewrist.net  |  Hewlett Packard  |  192.168.40.113  |  48:BA:4E:60:1C:B4  |  [3389, 445, 135, 139]
bwpc-7713.bluewrist.net  |  Hewlett Packard  |  192.168.40.113  |  48:BA:4E:60:1C:B4  |  [3389, 445, 135, 139]
bwpc-794.bluewrist.net  |  ASUSTek COMPUTER INC.  |  192.168.40.115  |  0C:9D:92:A5:3E:86  |  [445, 135, 139]
bwpc-794.bluewrist.net  |  ASUSTek COMPUTER INC.  |  192.168.40.115  |  0C:9D:92:A5:3E:86  |  [445, 135, 139]
desktop-f9fe0bv.bluewrist.net  |  Hewlett Packard  |  192.168.40.124  |  B4:B6:86:11:5D:D9  |  []
BWPC-888  |  Intel Corporate  |  192.168.40.118  |  18:1D:EA:5F:FB:AE  |  [80, 445, 135, 139]
bw-pc-1906.bluewrist.net  |  ASUSTek COMPUTER INC.  |  192.168.40.128  |  04:92:26:5D:E0:75  |  [80, 3389, 445, 135, 1433, 139, 1433]
bw-pc1906w11b.bluewrist.net  |  Intel Corporate  |  192.168.40.127  |  98:2C:BC:10:7A:93  |  [445, 135, 139]
bw-pc-1906.bluewrist.net  |  ASUSTek COMPUTER INC.  |  192.168.40.128  |  04:92:26:5D:E0:75  |  [80, 3389, 445, 135, 1433, 139, 1433]
desktop-f9fe0bv.bluewrist.net  |  Hewlett Packard  |  192.168.40.124  |  B4:B6:86:11:5D:D9  |  []
bw-pc1906w11b.bluewrist.net  |  Intel Corporate  |  192.168.40.127  |  98:2C:BC:10:7A:93  |  [445, 135, 139]
BW-PC-2319  |  REALTEK SEMICONDUCTOR CORP.  |  192.168.40.121  |  00:E0:4C:6C:6D:9B  |  []
desktop-7qn3jsr.bluewrist.net  |  Intel Corporate  |  192.168.40.155  |  9C:DA:3E:76:83:6F  |  []
None  |  Ubiquiti Inc  |  192.168.40.1  |  F0:9F:C2:0A:AF:1F  |  [80, 443, 22]
desktop-7qn3jsr.bluewrist.net  |  Intel Corporate  |  192.168.40.155  |  9C:DA:3E:76:83:6F  |  []
BWPC-888  |  Intel Corporate  |  192.168.40.118  |  18:1D:EA:5F:FB:AE  |  [80, 445, 135, 139]
bwpc-7755.bluewrist.net  |  Hewlett Packard  |  192.168.40.184  |  B4:B6:86:11:5D:DF  |  [135]
bwpc-7755.bluewrist.net  |  Hewlett Packard  |  192.168.40.184  |  B4:B6:86:11:5D:DF  |  [135]
bwpc-759.bluewrist.net  |  AzureWave Technology Inc.  |  192.168.40.196  |  80:C5:F2:0F:3F:7D  |  [135]
bwpc-759.bluewrist.net  |  AzureWave Technology Inc.  |  192.168.40.196  |  80:C5:F2:0F:3F:7D  |  [135]
bwpc-770.bluewrist.net  |  ASUSTek COMPUTER INC.  |  192.168.40.197  |  04:92:26:56:B7:3F  |  [445, 135, 139]
BW-PC-2319  |  REALTEK SEMICONDUCTOR CORP.  |  192.168.40.121  |  00:E0:4C:6C:6D:9B  |  []
None  |  Cisco Meraki  |  192.168.40.5  |  2C:3F:0B:E4:E8:E0  |  [80]
None  |  Cisco Meraki  |  192.168.40.4  |  E0:CB:BC:31:DB:A7  |  []
None  |  Cisco Meraki  |  192.168.40.6  |  68:3A:1E:31:F2:12  |  []
DESKTOP-LFOQ5K2  |  Gemtek Technology Co., Ltd.  |  192.168.40.158  |  20:10:7A:2E:A4:33  |  []
bwpc-770.bluewrist.net  |  ASUSTek COMPUTER INC.  |  192.168.40.197  |  04:92:26:56:B7:3F  |  [445, 135, 139]
None  |  Cisco Systems, Inc  |  192.168.40.31  |  88:75:56:07:47:A0  |  [80]
None  |  Cisco Meraki  |  192.168.40.7  |  0C:8D:DB:05:0B:74  |  []
desktop-bk3sp9l.bluewrist.net  |  None  |  192.168.40.203  |  88:88:88:88:87:88  |  []
None  |  AzureWave Technology Inc.  |  192.168.40.53  |  24:0A:64:E0:62:F6  |  [80]
BW-PC-1830test  |  LANNER ELECTRONICS, INC.  |  192.168.40.202  |  00:90:0B:58:75:81  |  [3389, 445, 135, 1433, 139, 1433]
desktop-bk3sp9l.bluewrist.net  |  None  |  192.168.40.203  |  88:88:88:88:87:88  |  []
None  |  Wyze Labs Inc  |  192.168.40.50  |  2C:AA:8E:FB:69:57  |  []
None  |  Cisco Meraki  |  192.168.40.3  |  E0:55:3D:F3:E1:A9  |  []
None  |  Cisco Systems, Inc  |  192.168.40.34  |  00:E1:6D:B8:74:DE  |  [80]
None  |  ADLINK TECHNOLOGY, INC.  |  192.168.40.60  |  00:30:64:46:45:6B  |  [80, 21, 22]
None  |  Cisco Meraki  |  192.168.40.5  |  2C:3F:0B:E4:E8:E0  |  [80]
None  |  Ubiquiti Inc  |  192.168.40.1  |  F0:9F:C2:0A:AF:1F  |  [80, 443, 22]
